2022-08-20 02:00:28,446 INFO    MainThread:6160 [wandb_setup.py:_flush():76] Configure stats pid to 6160
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_setup.py:_flush():76] Loading settings from C:\Users\xdqiang\.config\wandb\settings
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_setup.py:_flush():76] Loading settings from E:\xdqiangCode\LoveDA\Unsupervised_Domian_Adaptation\wandb\settings
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'Unsupervised_Domian_Adaptation\\IAST_train.py', 'program': 'E:/xdqiangCode/LoveDA/Unsupervised_Domian_Adaptation/IAST_train.py'}
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_init.py:_log_setup():461] Logging user logs to E:\xdqiangCode\LoveDA\Unsupervised_Domian_Adaptation\wandb\run-20220820_020028-jzpkooq4\logs\debug.log
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_init.py:_log_setup():462] Logging internal logs to E:\xdqiangCode\LoveDA\Unsupervised_Domian_Adaptation\wandb\run-20220820_020028-jzpkooq4\logs\debug-internal.log
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_init.py:init():495] calling init triggers
2022-08-20 02:00:28,447 INFO    MainThread:6160 [wandb_init.py:init():499] wandb.init called with sweep_config: {}
config: {}
2022-08-20 02:00:28,448 INFO    MainThread:6160 [wandb_init.py:init():548] starting backend
2022-08-20 02:00:28,448 INFO    MainThread:6160 [wandb_init.py:init():552] setting up manager
2022-08-20 02:00:28,451 INFO    MainThread:6160 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-08-20 02:00:28,454 INFO    MainThread:6160 [wandb_init.py:init():558] backend started and connected
2022-08-20 02:00:28,455 INFO    MainThread:6160 [wandb_init.py:init():636] updated telemetry
2022-08-20 02:00:28,483 INFO    MainThread:6160 [wandb_init.py:init():668] communicating run to backend with 30 second timeout
2022-08-20 02:00:30,990 INFO    MainThread:6160 [wandb_run.py:_on_init():1982] communicating current version
2022-08-20 02:00:34,932 INFO    MainThread:6160 [wandb_run.py:_on_init():1986] got version response 
2022-08-20 02:00:34,932 INFO    MainThread:6160 [wandb_init.py:init():700] starting run threads in backend
2022-08-20 02:00:37,052 INFO    MainThread:6160 [wandb_run.py:_console_start():1962] atexit reg
2022-08-20 02:00:37,052 INFO    MainThread:6160 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-20 02:00:37,053 INFO    MainThread:6160 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-20 02:00:37,053 INFO    MainThread:6160 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-20 02:00:37,053 INFO    MainThread:6160 [wandb_init.py:init():732] run started, returning control to user process
2022-08-20 07:28:04,296 WARNING MsgRouterThr:6160 [router.py:message_loop():76] message_loop has been closed
